prediction_id,sector,old_fund_code,old_fund_name,new_fund_code,new_fund_name,reset_verified
3201,煤炭,161724,招商中证煤炭等权指数(LOF)A,515220,煤炭 ETF 国泰,True
3203,大盘,159527,云计算ETF广发,510300,沪深300ETF华泰柏瑞,True
3204,红利,510880,红利ETF华泰柏瑞,515180,红利 ETF 易方达,False
3213,券商,512890,红利低波ETF华泰柏瑞,159842,券商ETF银华,False
3214,传媒,515000,科技ETF华宝,159805,传媒ETF鹏华,True
3216,有色金属,003033,,512400,有色 ETF 南方,False
3218,医疗,512170,华宝中证医疗ETF,159877,医疗ETF南方,False
3221,传媒,512980,传媒ETF广发,159805,传媒ETF鹏华,True
3228,医疗,512170,华宝中证医疗ETF,159877,医疗ETF南方,True
3234,有色金属,003033,,512400,有色 ETF 南方,False
3237,大盘,159527,云计算ETF广发,510300,沪深300ETF华泰柏瑞,False
3247,军工,512660,军工ETF国泰,512680,军工ETF广发,False
3256,有色金属,003033,,512400,有色 ETF 南方,False
3258,创新药,512170,华宝中证医疗ETF,159992,创新药ETF银华,False
3260,券商,512890,红利低波ETF华泰柏瑞,159842,券商ETF银华,True
3262,券商,512890,红利低波ETF华泰柏瑞,159842,券商ETF银华,False
3263,CPO,515000,科技ETF华宝,159583,富国通信设备ETF,True
3266,韩股,006105,,513310,中韩半导体ETF（QDII）,False
3267,纳指,006105,,159501,纳指ETF嘉实,False
3275,存储,515000,科技ETF华宝,159995,华夏国证半导体芯片ETF,False
3278,军工,512660,军工ETF国泰,512680,军工ETF广发,False
3283,红利,002413,雷科防务,515180,红利 ETF 易方达,False
3286,创新药,512170,华宝中证医疗ETF,159992,创新药ETF银华,False
3288,煤炭,512400,有色金属ETF南方,515220,煤炭 ETF 国泰,False
3291,有色金属,003033,,512400,有色 ETF 南方,False
3292,红利,510880,红利ETF华泰柏瑞,515180,红利 ETF 易方达,False
3293,军工,512660,军工ETF国泰,512680,军工ETF广发,True
3296,煤炭,003033,,515220,煤炭 ETF 国泰,False
3302,煤炭,512400,有色金属ETF南方,515220,煤炭 ETF 国泰,False
3305,红利,510880,红利ETF华泰柏瑞,515180,红利 ETF 易方达,True
3308,化工,158006,,516570,化工行业 ETF 易方达,False
3312,创新药,512170,华宝中证医疗ETF,159992,创新药ETF银华,False
3316,医疗,512170,华宝中证医疗ETF,159877,医疗ETF南方,False
3317,军工,512660,军工ETF国泰,512680,军工ETF广发,False
3318,红利,510880,红利ETF华泰柏瑞,515180,红利 ETF 易方达,False
3321,粮食,159825,农业ETF富国,158038,粮食ETF富国,False
3324,医疗,512170,华宝中证医疗ETF,159877,医疗ETF南方,False
